Date,Quantity,Durations,MoonIllumination
2014-07-01,5488,4551658,0.13
2014-07-02,2261,1649657,0.2
2014-07-03,1839,1382932,0.29
2014-07-04,3995,4307680,0.38
2014-07-05,4269,4152536,0.47
2014-07-06,4029,4163327,0.57
2014-07-07,4873,4294195,0.67
2014-07-08,4510,3744139,0.77
2014-07-09,5217,4324833,0.85
2014-07-10,5628,4734605,0.93
2014-07-11,4949,4209280,0.97
2014-07-12,5193,4680330,1
2014-07-13,4779,4045826,0.99
2014-07-14,994,644861,0.95
2014-07-15,1835,1292603,0.89
2014-07-16,5636,4856234,0.8
2014-07-17,6046,4956646,0.7
2014-07-18,5050,4333493,0.6
2014-07-19,5368,4926658,0.49
2014-07-20,5479,4742763,0.38
2014-07-21,5261,4382822,0.29
2014-07-22,5478,4611437,0.2
2014-07-23,3580,2765983,0.13
2014-07-24,5464,4548881,0.07
2014-07-25,4898,4179892,0.03
2014-07-26,5048,4608894,0.01
2014-07-27,5041,4374672,0
2014-07-28,4627,3753055,0.02
2014-07-29,5122,4113595,0.05
2014-07-30,5474,4539120,0.09
2014-07-31,5091,4265483,0.16
2014-08-01,4351,3714794,0.23
2014-08-02,4527,3942108,0.32
2014-08-03,4449,3794319,0.42
2014-08-04,4723,3836116,0.52
2014-08-05,5077,4292641,0.62
2014-08-06,5538,4524629,0.73
2014-08-07,5369,4466025,0.82
2014-08-08,4706,4165526,0.9
2014-08-09,4870,4599463,0.96
2014-08-10,4776,4206581,0.99
2014-08-11,4711,3829094,1
2014-08-12,2889,2032324,0.97
2014-08-13,4412,3588576,0.91
2014-08-14,5054,4169877,0.83
2014-08-15,4200,3393554,0.74
2014-08-16,4698,4275772,0.64
2014-08-17,4787,4149203,0.53
2014-08-18,4817,3899980,0.43
2014-08-19,4848,4060168,0.33
2014-08-20,5132,4331151,0.24
2014-08-21,4390,3443501,0.17
2014-08-22,3724,3006995,0.1
2014-08-23,4089,3614499,0.05
2014-08-24,4323,3650148,0.02
2014-08-25,4463,3689340,0
2014-08-26,4790,3930466,0
2014-08-27,4588,3681262,0.02
2014-08-28,4690,3751464,0.06
2014-08-29,3761,3029561,0.12
2014-08-30,3639,3144684,0.19
2014-08-31,3205,2730123,0.27
